name_ar,name_en,caza_ar,is_municipality,source,added_at
البرجين,Bourjein,الشوف,no,Towns.xlsx,2026-05-31
الرام بعلبك,Ram Baalbek,بعلبك,no,Towns.xlsx,2026-05-31
شهابية,Chehabiyeh,صور,no,Towns.xlsx,2026-05-31
قوزح,Qaouzah,بنت جبيل,no,Towns.xlsx,2026-05-31
شعيتية,Chaaitiyeh,صور,no,Towns.xlsx,2026-05-31
زحلة,Zahleh El-Midane,زحلة,yes,Towns.xlsx,2026-05-31
سفينة القيطع,Sfaynet El-Qaitaa,عكار,yes,Towns.xlsx,2026-05-31
مطيلب,Mtayleb,المتن,no,Towns.xlsx,2026-05-31
أرنون,Arnoun,النبطية,yes,Towns.xlsx,2026-05-31
لوبية,Loubieh,صيدا,no,Towns.xlsx,2026-05-31
بيت يونس,Beit Younes,عكار,yes,Towns.xlsx,2026-05-31
بدنايل الكورة,Bednayel El-Koura,الكورة,no,Towns.xlsx,2026-05-31
حومين الفوقا,Houmine El-Faouqa,النبطية,yes,Towns.xlsx,2026-05-31
مدوخا,Mdoukha,راشيا,yes,Towns.xlsx,2026-05-31
زبود,Zabboud,بعلبك,yes,Towns.xlsx,2026-05-31
خنشارة,Khinchara,المتن,no,Towns.xlsx,2026-05-31
الشقدوف,Chaqdouf,عكار,yes,Towns.xlsx,2026-05-31
جديدة الشوف,Jdeidet Ech-Chouf,الشوف,yes,Towns.xlsx,2026-05-31
حوش حالا,Haouch Hala,زحلة,no,Towns.xlsx,2026-05-31
بتدعي,Btedaai,بعلبك,yes,Towns.xlsx,2026-05-31
دير الغزال,Deir El-Ghazal,زحلة,yes,Towns.xlsx,2026-05-31
قرصيتا,Qarsaita,المنية الضنية,yes,Towns.xlsx,2026-05-31
رعيت,Raait,,yes,Towns.xlsx,2026-05-31
كامد اللوز,Kamed El-Laouz,البقاع الغربي,yes,Towns.xlsx,2026-05-31
دير العشاير,Deir El-Aachayer,راشيا,no,Towns.xlsx,2026-05-31
رامية بنت جبيل,Ramyet Bent Jbeil,بنت جبيل,no,Towns.xlsx,2026-05-31
مجدلا,Majdala,عكار,yes,Towns.xlsx,2026-05-31
صليما بعبدا,Salima Baabda,بعبدا,no,Towns.xlsx,2026-05-31
جبشيت,Jibchit,النبطية,yes,Towns.xlsx,2026-05-31
بطرماز,Btermaz,المنية الضنية,yes,Towns.xlsx,2026-05-31
كفركيلا,Kfar Kila,مرجعيون,no,Towns.xlsx,2026-05-31
عقبة راشيّا,Aaqabet Rachaya,راشيا,no,Towns.xlsx,2026-05-31
كفرحون,Kfar Houneh,جزين,no,Towns.xlsx,2026-05-31
ماري,Meri,حاصبيا,no,Towns.xlsx,2026-05-31
جبرائيل,Jebrayel,عكار,yes,Towns.xlsx,2026-05-31
باتر,Bater,الشوف,yes,Towns.xlsx,2026-05-31
مزكة,Mzakkeh,المتن,no,Towns.xlsx,2026-05-31
عرجس,Aarjis,زغرتا,yes,Towns.xlsx,2026-05-31
الحديد,Trablous El Hadid,طرابلس,no,Towns.xlsx,2026-05-31
كفرعميه,Kfar Aamay,عاليه,yes,Towns.xlsx,2026-05-31
تنورة,Tannoura,راشيا,yes,Towns.xlsx,2026-05-31
عيتيت,Aaytit,صور,yes,Towns.xlsx,2026-05-31
عين الدلب,Aain Ed-Delb,صيدا,yes,Towns.xlsx,2026-05-31
كوسبا,Kousba,الكورة,yes,Towns.xlsx,2026-05-31
صيفي,Saifeh,بيروت,no,Towns.xlsx,2026-05-31
كفرحتى صيدا,Kfar Hatta Saida,صيدا,no,Towns.xlsx,2026-05-31
كفرسلوان,Kfar Selouane,بعبدا,yes,Towns.xlsx,2026-05-31
حامات,Hamat,البترون,yes,Towns.xlsx,2026-05-31
كفر فو,Kfarfou,زغرتا,no,Towns.xlsx,2026-05-31
عيحا,Aayha,راشيا,yes,Towns.xlsx,2026-05-31
مصيطبة,Moussaytbeh,بيروت,no,Towns.xlsx,2026-05-31
بيت مري,Beit Meri,المتن,yes,Towns.xlsx,2026-05-31
دنبو عين الذهب,Dinbou,عكار,no,Towns.xlsx,2026-05-31
البيره عكار,Biret Aakkar,عكار,no,Towns.xlsx,2026-05-31
عبرين,Aabrine,البترون,yes,Towns.xlsx,2026-05-31
عديسة مرجعيون,Aadaysseh Marjaayoun,مرجعيون,no,Towns.xlsx,2026-05-31
طرابلس المهاترة,Trablous El Mhatra,طرابلس,no,Towns.xlsx,2026-05-31
رشدبين,Rechdibbine,الكورة,yes,Towns.xlsx,2026-05-31
مزرعة المشرف,Mazraat Mechref,,no,Towns.xlsx,2026-05-31
برعشيت,Baraachit,بنت جبيل,yes,Towns.xlsx,2026-05-31
عاليه,Aaley,عاليه,yes,Towns.xlsx,2026-05-31
تل عباس الشرقي,Tall Aabbas Ech-Charqi,عكار,no,Towns.xlsx,2026-05-31
وادي جزين,Wadi Jezzine,جزين,yes,Towns.xlsx,2026-05-31
داريا كسروان,Daraiya Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
دوريس,Douris,,no,Towns.xlsx,2026-05-31
قعقعية الجسر,Qaaqaaiyet Ej-Jisr,النبطية,yes,Towns.xlsx,2026-05-31
معروب,Maaroub,صور,yes,Towns.xlsx,2026-05-31
تنورين التحتا,Tannourine Et-Tahta,البترون,no,Towns.xlsx,2026-05-31
حنين,Hanine,بنت جبيل,no,Towns.xlsx,2026-05-31
تحويطة الغدير,Tahouitat El Ghadir,بعبدا,no,Towns.xlsx,2026-05-31
سرعين التحتا,Serraaine Et-Tahta,,yes,Towns.xlsx,2026-05-31
بحيرة تولا,Bhairet Toula,زغرتا,no,Towns.xlsx,2026-05-31
جاج,Jaj,جبيل,yes,Towns.xlsx,2026-05-31
قنطرة,Qantara,مرجعيون,yes,Towns.xlsx,2026-05-31
اجدبرا,Ijdabra,البترون,yes,Towns.xlsx,2026-05-31
عين عكرين,Ain Aakrine,الكورة,yes,Towns.xlsx,2026-05-31
قرنة شهوان,Qornet Chehouane,المتن,no,Towns.xlsx,2026-05-31
عربانية,Aarbaniyeh,بعبدا,no,Towns.xlsx,2026-05-31
بشوات,Bechouat,,yes,Towns.xlsx,2026-05-31
بلدي,Balde WaMazraatBaldeh,عكار,no,Towns.xlsx,2026-05-31
المنيه,Minie,المنية الضنية,yes,Towns.xlsx,2026-05-31
داريا زغرتا,Daraiya Zgharta,زغرتا,no,Towns.xlsx,2026-05-31
فريديس الشوف,Fraudis Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
المجادل,Majdel,صور,no,Towns.xlsx,2026-05-31
دير طاميش,Deir Tamich,المتن,no,Towns.xlsx,2026-05-31
عيترون,Aaintaroun,بنت جبيل,yes,Towns.xlsx,2026-05-31
فيع,Fiaa,الكورة,yes,Towns.xlsx,2026-05-31
كفروة أو بفروة,Bfaroueh,النبطية,no,Towns.xlsx,2026-05-31
شانيه,Chanay,عاليه,yes,Towns.xlsx,2026-05-31
عزه,Aazzi,النبطية,yes,Towns.xlsx,2026-05-31
بحرصاف,Bhersaf,المتن,no,Towns.xlsx,2026-05-31
علما الشعب,Aalma Ech-Chaab,صور,yes,Towns.xlsx,2026-05-31
عين كفر زبد,Aain Kfar Zabad,زحلة,no,Towns.xlsx,2026-05-31
كفرحاتا الكورة,Kfar Hata El-Koura,الكورة,no,Towns.xlsx,2026-05-31
مشتى حمود,Machta Hammoud,,yes,Towns.xlsx,2026-05-31
صيدا الدكرمان,Saida Ed-Dekermane,صيدا,no,Towns.xlsx,2026-05-31
عميق بقاع الغربي,Aammiq West Bekaa,البقاع الغربي,no,Towns.xlsx,2026-05-31
الغابون,Ghaboune,عاليه,yes,Towns.xlsx,2026-05-31
قليلة صور,Qlaileh Sour,صور,no,Towns.xlsx,2026-05-31
بترون,Batroun,البترون,no,Towns.xlsx,2026-05-31
بشنين,Bchannine,زغرتا,no,Towns.xlsx,2026-05-31
مرياطا,Miriata,زغرتا,no,Towns.xlsx,2026-05-31
غوسطا,Ghosta,كسروان,yes,Towns.xlsx,2026-05-31
راس كيفا,Ras Kifa,زغرتا,no,Towns.xlsx,2026-05-31
عين ابل,Aain Ibl,بنت جبيل,no,Towns.xlsx,2026-05-31
شبطين,Chibtine,البترون,yes,Towns.xlsx,2026-05-31
متريت,Metrit,الكورة,yes,Towns.xlsx,2026-05-31
دير نبوح,Deir Nbouh,المنية الضنية,yes,Towns.xlsx,2026-05-31
جباع الشوف,Jbaa Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
كوكبا حاصبيّا,Kaoukaba Hasbaiya,حاصبيا,no,Towns.xlsx,2026-05-31
قب الياس,Qabb Elias,زحلة,yes,Towns.xlsx,2026-05-31
يانوح جبيل,Yanouh Jbeil,جبيل,no,Towns.xlsx,2026-05-31
حزين,Hizzine,بعلبك,yes,Towns.xlsx,2026-05-31
تولا زغرتا,Toula Zgharta,زغرتا,no,Towns.xlsx,2026-05-31
عين التينه المنيه,Aain Et-Tineh-Miniyeh,المنية الضنية,no,Towns.xlsx,2026-05-31
حوش بردى,Haouche Barada,بعلبك,yes,Towns.xlsx,2026-05-31
علمان الشوف,Aalmane Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
عدبل,Idbil,عكار,yes,Towns.xlsx,2026-05-31
هرهريا,Harharaya,كسروان,no,Towns.xlsx,2026-05-31
عيرون,Aayroun,المتن,yes,Towns.xlsx,2026-05-31
باريش,Barich,صور,no,Towns.xlsx,2026-05-31
ذوق مصبح,Zouk Mousbeh,كسروان,yes,Towns.xlsx,2026-05-31
قصيبة النبطية,Qsaibet En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
كفر ياشيت,Kfaryachit,زغرتا,no,Towns.xlsx,2026-05-31
درعون,Daraaoun,كسروان,yes,Towns.xlsx,2026-05-31
كفرعقاب,Kfar Aaqab,المتن,yes,Towns.xlsx,2026-05-31
اسيا,Assia,البترون,yes,Towns.xlsx,2026-05-31
صوفر,Saoufar,عاليه,yes,Towns.xlsx,2026-05-31
عيناتا بنت جبيل,Aaynata Bent Jbeil,بنت جبيل,no,Towns.xlsx,2026-05-31
دير جنين,Deir Jannine,عكار,yes,Towns.xlsx,2026-05-31
راس بعلبك الشرقي,Ras Baalbek Ech-Charqi,بعلبك,no,Towns.xlsx,2026-05-31
كنيسة صور,Kneisset Sour,صور,no,Towns.xlsx,2026-05-31
القلمون,Qalamoun,طرابلس,yes,Towns.xlsx,2026-05-31
ريمات,Rimat,جزين,no,Towns.xlsx,2026-05-31
تعلبايا,Taalbaya,زحلة,yes,Towns.xlsx,2026-05-31
فرزل,Fourzol,زحلة,yes,Towns.xlsx,2026-05-31
مارون الراس,Maroun Er-Ras,بنت جبيل,yes,Towns.xlsx,2026-05-31
سفينة الدريب,Sfinet Ed-Draib,عكار,yes,Towns.xlsx,2026-05-31
دائرة النهر الكبير,Dayret Nahr El-Kabir,عكار,no,Towns.xlsx,2026-05-31
صيدا الوسطاني,Saida El-Oustani,صيدا,no,Towns.xlsx,2026-05-31
كفرملكي صيدا,Kfar Melki Saida,صيدا,no,Towns.xlsx,2026-05-31
سير الضنية,Sir Ed-Danniyeh,المنية الضنية,no,Towns.xlsx,2026-05-31
فيطرون,Faytroun,كسروان,yes,Towns.xlsx,2026-05-31
دار شمزين,Dar Chmizzine,الكورة,yes,Towns.xlsx,2026-05-31
مشمش جبيل,Michmich Jbeil,جبيل,no,Towns.xlsx,2026-05-31
البساتين عاليه,Aaley Bsatine,عاليه,no,Towns.xlsx,2026-05-31
كفر شلان,Kfar Chellane,المنية الضنية,no,Towns.xlsx,2026-05-31
حجة,Hajjeh,صيدا,no,Towns.xlsx,2026-05-31
ليلكي,Laylakeh,بعبدا,no,Towns.xlsx,2026-05-31
حوش الحريمة,Haouch El-Harime,البقاع الغربي,yes,Towns.xlsx,2026-05-31
رشاف,Rachaf,بنت جبيل,no,Towns.xlsx,2026-05-31
مشان,Mchaneh,جبيل,yes,Towns.xlsx,2026-05-31
المنصوري صور,Mansouri Sour,صور,no,Towns.xlsx,2026-05-31
مزرعة التفاح,Mazraat Et-Teffah,زغرتا,yes,Towns.xlsx,2026-05-31
بشري,Bcharreh,بشري,yes,Towns.xlsx,2026-05-31
بيرة راشّيا,Biret Rachaya,راشيا,no,Towns.xlsx,2026-05-31
إيزال,Izal,المنية الضنية,yes,Towns.xlsx,2026-05-31
شارون,Charoun,عاليه,yes,Towns.xlsx,2026-05-31
سلفايا,Selfaya,عاليه,yes,Towns.xlsx,2026-05-31
دير دلوم,Deir Dalloum,,no,Towns.xlsx,2026-05-31
بوشرية,Baouchriyeh,المتن,no,Towns.xlsx,2026-05-31
كفرمتى,Kfar Matta,عاليه,yes,Towns.xlsx,2026-05-31
بترومين,Batroumine,الكورة,yes,Towns.xlsx,2026-05-31
جديدة القيطع,Jdeidet El-Qaitaa,عكار,yes,Towns.xlsx,2026-05-31
بسابا بعبدا,Bsaba Baabda,بعبدا,no,Towns.xlsx,2026-05-31
زحلة  سيدة النجاة,Zahlé Saydet En-Najat,زحلة,no,Towns.xlsx,2026-05-31
جورة ارصون,Jouret Arsoun,بعبدا,yes,Towns.xlsx,2026-05-31
النبي يوشع,Nabi Youcheaa,المنية الضنية,no,Towns.xlsx,2026-05-31
بسبعل,Bsebaal,زغرتا,no,Towns.xlsx,2026-05-31
برمانا المتن,Broummana El-Matn,المتن,no,Towns.xlsx,2026-05-31
مزرعة عرب  طبَايا,Aarab Tabbaya,صيدا,no,Towns.xlsx,2026-05-31
شليفا,Chlifa,بعلبك,yes,Towns.xlsx,2026-05-31
سنديانة زيدان,Sindianet Zeidane,عكار,no,Towns.xlsx,2026-05-31
رويسة النعمان,Rouayssat En-Naamane,عاليه,yes,Towns.xlsx,2026-05-31
كترمايا,Ketermaya,الشوف,yes,Towns.xlsx,2026-05-31
المحمرة,Mhammaret,عكار,yes,Towns.xlsx,2026-05-31
القبيات عكار,Qbaiyat Aakkar,عكار,no,Towns.xlsx,2026-05-31
صويري,Souairi,البقاع الغربي,no,Towns.xlsx,2026-05-31
حومين التحتا,Houmine Et-Tahta,النبطية,yes,Towns.xlsx,2026-05-31
كفر زبد,Kfarzabad,زحلة,no,Towns.xlsx,2026-05-31
بكاسين,Bkassine,جزين,yes,Towns.xlsx,2026-05-31
جدرا,Jadra,الشوف,yes,Towns.xlsx,2026-05-31
كفر صغاب,Kfarsghab,زغرتا,yes,Towns.xlsx,2026-05-31
كوثرية السياد,Kaoutariyet Es-Siyad,صيدا,yes,Towns.xlsx,2026-05-31
دير قانون النهر,Deir Qanoun En-Nahr,صور,yes,Towns.xlsx,2026-05-31
محيدثه راشيا,Mhaiydseh Rachaya,راشيا,no,Towns.xlsx,2026-05-31
دير الزهراني,Deir Ez-Zahrani,النبطية,yes,Towns.xlsx,2026-05-31
مرفأ,Marfaa,بيروت,no,Towns.xlsx,2026-05-31
عين الغويبة,Aain El-Ghouaybeh,جبيل,yes,Towns.xlsx,2026-05-31
كفر حلدا,Kfar Hilda,البترون,no,Towns.xlsx,2026-05-31
مرج الزهور الدنيبة,Marj Ez-Zouhour (Haouch El-Qinnaabeh),حاصبيا,no,Towns.xlsx,2026-05-31
مزرعة الشوف,Mazraat Ech-Chouf,الشوف,yes,Towns.xlsx,2026-05-31
بريقع,Braiqeaa,النبطية,yes,Towns.xlsx,2026-05-31
كفر حبو,Kfar Habou,المنية الضنية,no,Towns.xlsx,2026-05-31
بليبل,Blaybel,عاليه,yes,Towns.xlsx,2026-05-31
مزبود,mazboud,الشوف,yes,Towns.xlsx,2026-05-31
عبدين بشري,Aabdine,بشري,no,Towns.xlsx,2026-05-31
بقسطا,Bqosta,صيدا,yes,Towns.xlsx,2026-05-31
برج الشمالي,Borj Ech-Chemali,صور,yes,Towns.xlsx,2026-05-31
بتاتر,Btater,عاليه,yes,Towns.xlsx,2026-05-31
مرجعيون,Marjaayoun,مرجعيون,no,Towns.xlsx,2026-05-31
شمسطار,Chmistar,بعلبك,no,Towns.xlsx,2026-05-31
السويسة عكار,Souaisset Aakkar,عكار,no,Towns.xlsx,2026-05-31
طرابلس السويقة,Trablous Es-Souayqa,طرابلس,no,Towns.xlsx,2026-05-31
زكريت,Zakrit,المتن,yes,Towns.xlsx,2026-05-31
عبرا صيدا,Aabra Saida,صيدا,no,Towns.xlsx,2026-05-31
سلطانية بنت جبيل,Soultaniyet Bent Jbeil,بنت جبيل,no,Towns.xlsx,2026-05-31
ذوق المقشرين,Zouq El-Moqachrine,,no,Towns.xlsx,2026-05-31
زحلتا,Zhilta,جزين,no,Towns.xlsx,2026-05-31
بلاط مرجعيون,Blat Marjaayoun,مرجعيون,no,Towns.xlsx,2026-05-31
حوش الامراء زحلة,Zahleh Haouch El-Oumara,زحلة,no,Towns.xlsx,2026-05-31
اللقلوق,Laqlouq,جبيل,yes,Towns.xlsx,2026-05-31
ارزون,Arzoun,صور,yes,Towns.xlsx,2026-05-31
حرف السياد,Harf Es-Sayad,المنية الضنية,yes,Towns.xlsx,2026-05-31
الباروك,Barouk,الشوف,no,Towns.xlsx,2026-05-31
وردانيه,Ouardaniyeh,الشوف,no,Towns.xlsx,2026-05-31
جديدة الجومه,Jdidet Ej-Joumeh,عكار,yes,Towns.xlsx,2026-05-31
كفرشيما,Kfar Chima,بعبدا,yes,Towns.xlsx,2026-05-31
جبين,Jibbayn,صور,no,Towns.xlsx,2026-05-31
مزرعة سيناي,Mazraat Sinai,صيدا,no,Towns.xlsx,2026-05-31
بلونة,Balloune,كسروان,yes,Towns.xlsx,2026-05-31
علي النهري,Aali En-Nahri,زحلة,yes,Towns.xlsx,2026-05-31
شرتون,Chartoun,عاليه,yes,Towns.xlsx,2026-05-31
صفاريه,Sfaray,جزين,yes,Towns.xlsx,2026-05-31
إنصار,Ansar,النبطية,yes,Towns.xlsx,2026-05-31
جديتا,Jdita,زحلة,yes,Towns.xlsx,2026-05-31
سلطان يعقوب أراضي,Soltan Yacoub el Aradi,البقاع الغربي,no,Towns.xlsx,2026-05-31
حبوش النبطية,Habbouch En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
دبابية,Dibbabiyeh,عكار,no,Towns.xlsx,2026-05-31
كفرنيس,Kfar Niss,الشوف,yes,Towns.xlsx,2026-05-31
العبودية,Aabboudiyeh,عكار,yes,Towns.xlsx,2026-05-31
مجدل بلهيص,Majdel Balhis,راشيا,yes,Towns.xlsx,2026-05-31
حولا,Houla,مرجعيون,yes,Towns.xlsx,2026-05-31
كفريا الكورة,Kafraya El-Koura,الكورة,no,Towns.xlsx,2026-05-31
بيسارية,Bissariyeh,صيدا,no,Towns.xlsx,2026-05-31
كفرتيه المتن,Kfar Tay El-Matn,المتن,no,Towns.xlsx,2026-05-31
حاصبيّا,Hasbaiya,حاصبيا,yes,Towns.xlsx,2026-05-31
ضهر الصوان المتن,Dahr Es-Souane El-Matn,المتن,no,Towns.xlsx,2026-05-31
مجيدية حاصبيا,Majidiyeh Hasbaiya,حاصبيا,no,Towns.xlsx,2026-05-31
التليل,Tleil,عكار,yes,Towns.xlsx,2026-05-31
سمقانية,Semqaniyeh,الشوف,no,Towns.xlsx,2026-05-31
ابلح,Ablah,زحلة,yes,Towns.xlsx,2026-05-31
منارة (حمارة) بقاع الغربي,Manara (Hammara) West Bekaa,البقاع الغربي,no,Towns.xlsx,2026-05-31
بمريم,Bmaryam,بعبدا,yes,Towns.xlsx,2026-05-31
أرده,Arde,,yes,Towns.xlsx,2026-05-31
شبعا,Chebaa,حاصبيا,yes,Towns.xlsx,2026-05-31
جية,Jiyeh,الشوف,no,Towns.xlsx,2026-05-31
مشرف,Mechref,الشوف,no,Towns.xlsx,2026-05-31
فرن الشباك,Furn Ech-Chebbak,بعبدا,no,Towns.xlsx,2026-05-31
بنواتي جزين,Benouati Jezzine,جزين,no,Towns.xlsx,2026-05-31
مشغرة,Machghara,البقاع الغربي,yes,Towns.xlsx,2026-05-31
خربة روحا,Khirbet Rouha,راشيا,yes,Towns.xlsx,2026-05-31
أرزي,Arzai,صيدا,yes,Towns.xlsx,2026-05-31
الخيارة,Khiara,البقاع الغربي,yes,Towns.xlsx,2026-05-31
عندقت,Aandqet,عكار,yes,Towns.xlsx,2026-05-31
رجمة,Rijmeh,عاليه,no,Towns.xlsx,2026-05-31
بتلون,Batloun,الشوف,yes,Towns.xlsx,2026-05-31
الحويش,Houaich,عكار,yes,Towns.xlsx,2026-05-31
كفر زينا,Kfarzaina,زغرتا,no,Towns.xlsx,2026-05-31
دبعل صور,Debaal Sour,صور,no,Towns.xlsx,2026-05-31
ديرعامص,Deir Aames,صور,no,Towns.xlsx,2026-05-31
عيون المتن,Aayoun El-Matn,المتن,no,Towns.xlsx,2026-05-31
شوكين,Choukine,النبطية,yes,Towns.xlsx,2026-05-31
بيت الدين,Beit Ed-Dine,الشوف,yes,Towns.xlsx,2026-05-31
زان,Zaneh,البترون,yes,Towns.xlsx,2026-05-31
راس الحرف,Ras El-Href,بعبدا,yes,Towns.xlsx,2026-05-31
شمع,Chamaa,صور,yes,Towns.xlsx,2026-05-31
بوداي,Bouday,,no,Towns.xlsx,2026-05-31
لحفد,Lehfed,جبيل,yes,Towns.xlsx,2026-05-31
قصرنابا,Qsarnaba,بعلبك,no,Towns.xlsx,2026-05-31
راس المتن,Ras El Matn,بعبدا,yes,Towns.xlsx,2026-05-31
عين الزيت,Aain Ez-Zeit,عكار,yes,Towns.xlsx,2026-05-31
تعنايل,Taanayel,زحلة,no,Towns.xlsx,2026-05-31
عرمتى,Aaramta,جزين,yes,Towns.xlsx,2026-05-31
بنتاعل,Bintaael,جبيل,no,Towns.xlsx,2026-05-31
بحمدون المحطة,Bhamdoun El-Mhatta,عاليه,no,Towns.xlsx,2026-05-31
برج حمّود,Bourj Hammoud,المتن,yes,Towns.xlsx,2026-05-31
قماطية,Qmatiyeh,,no,Towns.xlsx,2026-05-31
فتري,Fatre,جبيل,yes,Towns.xlsx,2026-05-31
شرقية,Charqiyeh,النبطية,no,Towns.xlsx,2026-05-31
بني حيان,Bany haiyane,مرجعيون,yes,Towns.xlsx,2026-05-31
بطلون,Btalloun,عاليه,yes,Towns.xlsx,2026-05-31
دير دوريت,Deir Dourit,الشوف,yes,Towns.xlsx,2026-05-31
عنقون,Aanqoun,صيدا,yes,Towns.xlsx,2026-05-31
دير الحرف,Deir El-harf,بعبدا,yes,Towns.xlsx,2026-05-31
مار الياس زحلة,Zahlé Mar Elias,زحلة,no,Towns.xlsx,2026-05-31
أنان,Anane,جزين,yes,Towns.xlsx,2026-05-31
مريجات زحلة,Mrayjat Zahleh,زحلة,no,Towns.xlsx,2026-05-31
بدغان,Bedghan Oua Ouadi Bedghan,عاليه,yes,Towns.xlsx,2026-05-31
اجدعبرين,Ijdaabrine,الكورة,no,Towns.xlsx,2026-05-31
بمكين,Bmakine,عاليه,yes,Towns.xlsx,2026-05-31
بقرقاشا,Bqerqacha,بشري,yes,Towns.xlsx,2026-05-31
راس بيروت,Ras Beyrouth,بيروت,no,Towns.xlsx,2026-05-31
نابيه,Nabay,المتن,yes,Towns.xlsx,2026-05-31
جوار الحوز,Jouar El-Haouz,بعبدا,yes,Towns.xlsx,2026-05-31
عين تنتا,Aain Tinta,عكار,no,Towns.xlsx,2026-05-31
كفرا بنت جبيل,Kafra Bent Jbeil,بنت جبيل,no,Towns.xlsx,2026-05-31
دير كوشه,Deir Koucheh,الشوف,yes,Towns.xlsx,2026-05-31
بستان صور,Boustane,صور,no,Towns.xlsx,2026-05-31
القاع بعلبك,Qaa Baalbek,بعلبك,no,Towns.xlsx,2026-05-31
بيصور عاليه,Bayssour Aaley,عاليه,no,Towns.xlsx,2026-05-31
إبل السقي,Ibl Es-Saqi,مرجعيون,no,Towns.xlsx,2026-05-31
علما,Aalma,زغرتا,yes,Towns.xlsx,2026-05-31
مجدل سلم,Majdel Selm,مرجعيون,yes,Towns.xlsx,2026-05-31
مروحين,Merouahine,صور,yes,Towns.xlsx,2026-05-31
برقايل,berqayel,عكار,yes,Towns.xlsx,2026-05-31
معربون,Maaraboun,بعلبك,yes,Towns.xlsx,2026-05-31
مجدل المعوش,Majdel El-Meouch,الشوف,no,Towns.xlsx,2026-05-31
جون,Joun,الشوف,yes,Towns.xlsx,2026-05-31
سلعا صور,Selaa Sour,صور,no,Towns.xlsx,2026-05-31
بشتليدا,Bichtlida,جبيل,no,Towns.xlsx,2026-05-31
مزرعة يشوع,Mazraat Yachouaa,المتن,yes,Towns.xlsx,2026-05-31
فاريا,Faraya,كسروان,yes,Towns.xlsx,2026-05-31
شننعير,Chnanaair,كسروان,yes,Towns.xlsx,2026-05-31
راس مسقا الجنوبية,Ras Masqa,الكورة,no,Towns.xlsx,2026-05-31
سرحمول,Sirhmoul,عاليه,yes,Towns.xlsx,2026-05-31
دير قانون,Deir Qanoun El-Aain,صور,no,Towns.xlsx,2026-05-31
البياض صور,Biyad,صور,no,Towns.xlsx,2026-05-31
كفر,Kafr,عكار,no,Towns.xlsx,2026-05-31
راس بعلبك الساحل,Ras Baalbek Es-Sahel,بعلبك,no,Towns.xlsx,2026-05-31
بينو,Beino,عكار,no,Towns.xlsx,2026-05-31
ممنع,Menneaa,عكار,yes,Towns.xlsx,2026-05-31
النهريه,Mazraat En-Nahriyeh,,no,Towns.xlsx,2026-05-31
يحشوش,yahchouch,كسروان,yes,Towns.xlsx,2026-05-31
جزين,Jezzine,جزين,no,Towns.xlsx,2026-05-31
عقيبة كسروان,Aaqaibeh Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
هري,Heri,البترون,no,Towns.xlsx,2026-05-31
قيتولي,Qaytouleh,جزين,yes,Towns.xlsx,2026-05-31
حزرتا,Hazerta,زحلة,yes,Towns.xlsx,2026-05-31
الحيصة,Hayssa,عكار,no,Towns.xlsx,2026-05-31
حلوسية,Halloussiyeh,صور,no,Towns.xlsx,2026-05-31
بزال,Bzal,عكار,yes,Towns.xlsx,2026-05-31
تلمعيان,Tall Meaayan Tall Kiri,عكار,yes,Towns.xlsx,2026-05-31
ريحانيه  المنيه,Rihaniyet-Miniyeh,المنية الضنية,no,Towns.xlsx,2026-05-31
يونين,Youmine,بعلبك,yes,Towns.xlsx,2026-05-31
حرار,Hrar,عكار,yes,Towns.xlsx,2026-05-31
حمانا,Hammana,بعبدا,yes,Towns.xlsx,2026-05-31
نبي شيت,Nabi Chit,بعلبك,no,Towns.xlsx,2026-05-31
راس اسطا,Ras Osta,جبيل,yes,Towns.xlsx,2026-05-31
حمى مار مارون عنَايا,Hema Mar Maroun Aannaya,جبيل,no,Towns.xlsx,2026-05-31
الخيام مرجعيون,Khiyam Marjaayoun,مرجعيون,no,Towns.xlsx,2026-05-31
برج البراجنة,Bourj El-Brajneh,بعبدا,yes,Towns.xlsx,2026-05-31
رشعين,Rachaaine,زغرتا,yes,Towns.xlsx,2026-05-31
لبوة,Laboueh,,no,Towns.xlsx,2026-05-31
مجذوب,Majzoub,المتن,no,Towns.xlsx,2026-05-31
طليا,Talia,بعلبك,yes,Towns.xlsx,2026-05-31
كونين,Kounine,بنت جبيل,yes,Towns.xlsx,2026-05-31
زعيتره,Zaaitreh,كسروان,yes,Towns.xlsx,2026-05-31
برحليون,Berhalioun,بشري,yes,Towns.xlsx,2026-05-31
بسوس,Bsous,عاليه,yes,Towns.xlsx,2026-05-31
شياح,Chiyah,,no,Towns.xlsx,2026-05-31
بزبدين,Bzebdine,بعبدا,yes,Towns.xlsx,2026-05-31
عمشيت,Aamchit,جبيل,yes,Towns.xlsx,2026-05-31
صالحية صيدا,Salhiyet Saida,صيدا,no,Towns.xlsx,2026-05-31
تكريت,Tikrit,عكار,yes,Towns.xlsx,2026-05-31
بقاع كفرا,Bqaa Kafra,بشري,yes,Towns.xlsx,2026-05-31
