name_ar,name_en,caza_ar,is_municipality,source,added_at
الجرمق,Jarmaq,جزين,yes,Towns.xlsx,2026-05-31
زلايا,Zilaya,البقاع الغربي,yes,Towns.xlsx,2026-05-31
رشكنانيه,Recheknanay,صور,yes,Towns.xlsx,2026-05-31
سفيرة,Sfireh,المنية الضنية,no,Towns.xlsx,2026-05-31
جباع النبطية,Jbaa En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
حصروت,Hasrout,الشوف,yes,Towns.xlsx,2026-05-31
جورة الترمس,Jouret E-Tourmos,كسروان,yes,Towns.xlsx,2026-05-31
مرستى,Mristi,الشوف,yes,Towns.xlsx,2026-05-31
مدور,Medawar,بيروت,no,Towns.xlsx,2026-05-31
شكَا,Chikka,البترون,yes,Towns.xlsx,2026-05-31
ذوق الخراب,Zouk El-Kharab,المتن,no,Towns.xlsx,2026-05-31
بدادون,Bdadoun,عاليه,yes,Towns.xlsx,2026-05-31
بشمزين,Bechmizzine,الكورة,yes,Towns.xlsx,2026-05-31
عشقوت,Aachqout,كسروان,yes,Towns.xlsx,2026-05-31
كفر ببنين,Kfar Bibnine,المنية الضنية,no,Towns.xlsx,2026-05-31
وادي فعرا,Ouadi Faara,الهرمل,no,Towns.xlsx,2026-05-31
بكيفا راشيا,Bakkifac Rachaya,راشيا,no,Towns.xlsx,2026-05-31
جناتا,Jennata,صور,yes,Towns.xlsx,2026-05-31
بيت الككو,Beit El-Kekko,المتن,no,Towns.xlsx,2026-05-31
دلبتا,Dlebta,كسروان,yes,Towns.xlsx,2026-05-31
طورا,Toura,صور,yes,Towns.xlsx,2026-05-31
كفر تبنيت,Kfar Tibnit,النبطية,yes,Towns.xlsx,2026-05-31
عمّاطور,Aammatour,الشوف,yes,Towns.xlsx,2026-05-31
بربارة جبيل,Berbara Jbeil,جبيل,no,Towns.xlsx,2026-05-31
بخشتيه,Bkhichtay,عاليه,yes,Towns.xlsx,2026-05-31
محيدثة المتن,Mhaidset Matn,المتن,no,Towns.xlsx,2026-05-31
حارة حريك,Haret Hreik,بعبدا,yes,Towns.xlsx,2026-05-31
دوسة بغدادي,Baghdadi,عكار,no,Towns.xlsx,2026-05-31
اميون,Amioun,الكورة,yes,Towns.xlsx,2026-05-31
أدما والدفنه,Adma Oua Dafine,كسروان,yes,Towns.xlsx,2026-05-31
رمادية,Rmadiyeh,صور,yes,Towns.xlsx,2026-05-31
عميق الشوف,Aammiq Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
القرنة,Qornet Aakkar,عكار,yes,Towns.xlsx,2026-05-31
كفرحزير,Kfar Hazir,الكورة,yes,Towns.xlsx,2026-05-31
المسقى,Masqa,المتن,no,Towns.xlsx,2026-05-31
كفرحمام,Kfar Hamam,حاصبيا,yes,Towns.xlsx,2026-05-31
مراح السفيرة,Mrah Es-Sfire,المنية الضنية,yes,Towns.xlsx,2026-05-31
مكنونية جزين,Maknounet Jezzine,جزين,no,Towns.xlsx,2026-05-31
يحمر النبطية,Yohmor En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
هبّارية,Hebbariyeh,حاصبيا,no,Towns.xlsx,2026-05-31
باشورة,Bachoura,بيروت,no,Towns.xlsx,2026-05-31
زحلة حوش الامراء أراضي,Zahlé Haouch El-Oumara Aradi,زحلة,no,Towns.xlsx,2026-05-31
زحلة مار جرجس,Zahlé Mar Gerges,زحلة,no,Towns.xlsx,2026-05-31
دير كيفا,Deir Kifa,صور,yes,Towns.xlsx,2026-05-31
برجا,Barja,الشوف,yes,Towns.xlsx,2026-05-31
ياطر,Yater,بنت جبيل,yes,Towns.xlsx,2026-05-31
مختارة,Moukhtara,الشوف,no,Towns.xlsx,2026-05-31
القرعون,Qaraaoun,البقاع الغربي,no,Towns.xlsx,2026-05-31
كفير الزيت,Kfayr Ez-Zait,حاصبيا,no,Towns.xlsx,2026-05-31
حملايا,Himlaya,المتن,no,Towns.xlsx,2026-05-31
درب السيم,Darb Es-Sim,صيدا,yes,Towns.xlsx,2026-05-31
العيون,Aayoun Aakkar,عكار,yes,Towns.xlsx,2026-05-31
بزمار,Bzoummar,كسروان,yes,Towns.xlsx,2026-05-31
بقسميا,Boqsmaiya,البترون,yes,Towns.xlsx,2026-05-31
شيخلار,Cheikhlar,,no,Towns.xlsx,2026-05-31
بر الياس,Barr Elias,زحلة,yes,Towns.xlsx,2026-05-31
حوش تل صفية,Haouch Tall Safiyeh,بعلبك,yes,Towns.xlsx,2026-05-31
صفد البطيخ,Safad Al-Battikh,بنت جبيل,yes,Towns.xlsx,2026-05-31
ترشيش,Tarchich,بعبدا,yes,Towns.xlsx,2026-05-31
رعشين,Raachine,كسروان,yes,Towns.xlsx,2026-05-31
سرجبال,Sirjbal,الشوف,yes,Towns.xlsx,2026-05-31
