alias_id,registry_id,municipality_id,source_basis,alias_type,alias_value,language,is_primary,confidence,source
ALIAS-MUN-MOIM-2025-aa3930003a51-001,MUN-MOIM-2025-aa3930003a51,,moim_2025_election_results_unmatched_to_dglac,primary_ar,دميت,ar,true,high,registry
ALIAS-MUN-MOIM-2025-aa3930003a51-002,MUN-MOIM-2025-aa3930003a51,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_دميت,en,false,high,registry
ALIAS-MUN-MOIM-2025-2aecbd3a020e-001,MUN-MOIM-2025-2aecbd3a020e,,moim_2025_election_results_unmatched_to_dglac,primary_ar,دير القمر,ar,true,high,registry
ALIAS-MUN-MOIM-2025-2aecbd3a020e-002,MUN-MOIM-2025-2aecbd3a020e,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_دير_القمر,en,false,high,registry
ALIAS-MUN-MOIM-2025-073e4d4b903e-001,MUN-MOIM-2025-073e4d4b903e,,moim_2025_election_results_unmatched_to_dglac,primary_ar,دير بابا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-073e4d4b903e-002,MUN-MOIM-2025-073e4d4b903e,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_دير_بابا,en,false,high,registry
ALIAS-MUN-MOIM-2025-09606bcc853c-001,MUN-MOIM-2025-09606bcc853c,,moim_2025_election_results_unmatched_to_dglac,primary_ar,دير دوريت,ar,true,high,registry
ALIAS-MUN-MOIM-2025-09606bcc853c-002,MUN-MOIM-2025-09606bcc853c,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_دير_دوريت,en,false,high,registry
ALIAS-MUN-MOIM-2025-d329d880e12d-001,MUN-MOIM-2025-d329d880e12d,,moim_2025_election_results_unmatched_to_dglac,primary_ar,دير كوشه,ar,true,high,registry
ALIAS-MUN-MOIM-2025-d329d880e12d-002,MUN-MOIM-2025-d329d880e12d,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_دير_كوشه,en,false,high,registry
ALIAS-MUN-MOIM-2025-384c3752383d-001,MUN-MOIM-2025-384c3752383d,,moim_2025_election_results_unmatched_to_dglac,primary_ar,سرجبال,ar,true,high,registry
ALIAS-MUN-MOIM-2025-384c3752383d-002,MUN-MOIM-2025-384c3752383d,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_سرجبال,en,false,high,registry
ALIAS-MUN-MOIM-2025-035f12fcb6d8-001,MUN-MOIM-2025-035f12fcb6d8,,moim_2025_election_results_unmatched_to_dglac,primary_ar,علمان والبرغوتية,ar,true,high,registry
ALIAS-MUN-MOIM-2025-035f12fcb6d8-002,MUN-MOIM-2025-035f12fcb6d8,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_علمان_والبرغوتية,en,false,high,registry
ALIAS-MUN-MOIM-2025-25ac48d36506-001,MUN-MOIM-2025-25ac48d36506,,moim_2025_election_results_unmatched_to_dglac,primary_ar,عين الحور,ar,true,high,registry
ALIAS-MUN-MOIM-2025-25ac48d36506-002,MUN-MOIM-2025-25ac48d36506,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_عين_الحور,en,false,high,registry
ALIAS-MUN-MOIM-2025-d01c90fe8c88-001,MUN-MOIM-2025-d01c90fe8c88,,moim_2025_election_results_unmatched_to_dglac,primary_ar,عين زحلتا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-d01c90fe8c88-002,MUN-MOIM-2025-d01c90fe8c88,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_عين_زحلتا,en,false,high,registry
ALIAS-MUN-MOIM-2025-0d21891ef3be-001,MUN-MOIM-2025-0d21891ef3be,,moim_2025_election_results_unmatched_to_dglac,primary_ar,كفرحيم,ar,true,high,registry
ALIAS-MUN-MOIM-2025-0d21891ef3be-002,MUN-MOIM-2025-0d21891ef3be,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_كفرحيم,en,false,high,registry
ALIAS-MUN-MOIM-2025-347ff5b88eae-001,MUN-MOIM-2025-347ff5b88eae,,moim_2025_election_results_unmatched_to_dglac,primary_ar,كفرفاقود,ar,true,high,registry
ALIAS-MUN-MOIM-2025-347ff5b88eae-002,MUN-MOIM-2025-347ff5b88eae,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_كفرفاقود,en,false,high,registry
ALIAS-MUN-MOIM-2025-6526a6bfcdfc-001,MUN-MOIM-2025-6526a6bfcdfc,,moim_2025_election_results_unmatched_to_dglac,primary_ar,كفرقطره,ar,true,high,registry
ALIAS-MUN-MOIM-2025-6526a6bfcdfc-002,MUN-MOIM-2025-6526a6bfcdfc,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_كفرقطره,en,false,high,registry
ALIAS-MUN-MOIM-2025-b7be3f77e0ff-001,MUN-MOIM-2025-b7be3f77e0ff,,moim_2025_election_results_unmatched_to_dglac,primary_ar,كفرنبرخ,ar,true,high,registry
ALIAS-MUN-MOIM-2025-b7be3f77e0ff-002,MUN-MOIM-2025-b7be3f77e0ff,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_كفرنبرخ,en,false,high,registry
ALIAS-MUN-MOIM-2025-f6e74cbb3155-001,MUN-MOIM-2025-f6e74cbb3155,,moim_2025_election_results_unmatched_to_dglac,primary_ar,كفرنيس,ar,true,high,registry
ALIAS-MUN-MOIM-2025-f6e74cbb3155-002,MUN-MOIM-2025-f6e74cbb3155,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_كفرنيس,en,false,high,registry
ALIAS-MUN-MOIM-2025-0dd899178f6b-001,MUN-MOIM-2025-0dd899178f6b,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مجد المعوش,ar,true,high,registry
ALIAS-MUN-MOIM-2025-0dd899178f6b-002,MUN-MOIM-2025-0dd899178f6b,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_مجد_المعوش,en,false,high,registry
ALIAS-MUN-MOIM-2025-103f87a39d7d-001,MUN-MOIM-2025-103f87a39d7d,,moim_2025_election_results_unmatched_to_dglac,primary_ar,معاصر بيت الدين,ar,true,high,registry
ALIAS-MUN-MOIM-2025-103f87a39d7d-002,MUN-MOIM-2025-103f87a39d7d,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_معاصر_بيت_الدين,en,false,high,registry
ALIAS-MUN-MOIM-2025-a01f9aa569b6-001,MUN-MOIM-2025-a01f9aa569b6,,moim_2025_election_results_unmatched_to_dglac,primary_ar,وادي الست,ar,true,high,registry
ALIAS-MUN-MOIM-2025-a01f9aa569b6-002,MUN-MOIM-2025-a01f9aa569b6,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_chouf_وادي_الست,en,false,high,registry
ALIAS-MUN-MOIM-2025-a7b802bbb3e1-001,MUN-MOIM-2025-a7b802bbb3e1,,moim_2025_election_results_unmatched_to_dglac,primary_ar,افقا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-a7b802bbb3e1-002,MUN-MOIM-2025-a7b802bbb3e1,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_افقا,en,false,high,registry
ALIAS-MUN-MOIM-2025-99848a9c7d6e-001,MUN-MOIM-2025-99848a9c7d6e,,moim_2025_election_results_unmatched_to_dglac,primary_ar,البرباره,ar,true,high,registry
ALIAS-MUN-MOIM-2025-99848a9c7d6e-002,MUN-MOIM-2025-99848a9c7d6e,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_البرباره,en,false,high,registry
ALIAS-MUN-MOIM-2025-5e0b9cea49c7-001,MUN-MOIM-2025-5e0b9cea49c7,,moim_2025_election_results_unmatched_to_dglac,primary_ar,الحصون,ar,true,high,registry
ALIAS-MUN-MOIM-2025-5e0b9cea49c7-002,MUN-MOIM-2025-5e0b9cea49c7,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_الحصون,en,false,high,registry
ALIAS-MUN-MOIM-2025-987cf5969a7b-001,MUN-MOIM-2025-987cf5969a7b,,moim_2025_election_results_unmatched_to_dglac,primary_ar,السا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-987cf5969a7b-002,MUN-MOIM-2025-987cf5969a7b,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_السا,en,false,high,registry
ALIAS-MUN-MOIM-2025-444b0adf427f-001,MUN-MOIM-2025-444b0adf427f,,moim_2025_election_results_unmatched_to_dglac,primary_ar,الغابات والرويس,ar,true,high,registry
ALIAS-MUN-MOIM-2025-444b0adf427f-002,MUN-MOIM-2025-444b0adf427f,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_الغابات_والرويس,en,false,high,registry
ALIAS-MUN-MOIM-2025-ed72661a7e0c-001,MUN-MOIM-2025-ed72661a7e0c,,moim_2025_election_results_unmatched_to_dglac,primary_ar,الفيدار,ar,true,high,registry
ALIAS-MUN-MOIM-2025-ed72661a7e0c-002,MUN-MOIM-2025-ed72661a7e0c,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_الفيدار,en,false,high,registry
ALIAS-MUN-MOIM-2025-fc5398b1fd19-001,MUN-MOIM-2025-fc5398b1fd19,,moim_2025_election_results_unmatched_to_dglac,primary_ar,اللقلوق,ar,true,high,registry
ALIAS-MUN-MOIM-2025-fc5398b1fd19-002,MUN-MOIM-2025-fc5398b1fd19,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_اللقلوق,en,false,high,registry
ALIAS-MUN-MOIM-2025-5bc4e958283e-001,MUN-MOIM-2025-5bc4e958283e,,moim_2025_election_results_unmatched_to_dglac,primary_ar,المجدل,ar,true,high,registry
ALIAS-MUN-MOIM-2025-5bc4e958283e-002,MUN-MOIM-2025-5bc4e958283e,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_المجدل,en,false,high,registry
ALIAS-MUN-MOIM-2025-9f0f29d7f023-001,MUN-MOIM-2025-9f0f29d7f023,,moim_2025_election_results_unmatched_to_dglac,primary_ar,المزاريب وعرستا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-9f0f29d7f023-002,MUN-MOIM-2025-9f0f29d7f023,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_المزاريب_وعرستا,en,false,high,registry
ALIAS-MUN-MOIM-2025-9ccc3639bbca-001,MUN-MOIM-2025-9ccc3639bbca,,moim_2025_election_results_unmatched_to_dglac,primary_ar,بجه,ar,true,high,registry
ALIAS-MUN-MOIM-2025-9ccc3639bbca-002,MUN-MOIM-2025-9ccc3639bbca,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_بجه,en,false,high,registry
ALIAS-MUN-MOIM-2025-2ba24cac6a06-001,MUN-MOIM-2025-2ba24cac6a06,,moim_2025_election_results_unmatched_to_dglac,primary_ar,بشتليدا وفدار,ar,true,high,registry
ALIAS-MUN-MOIM-2025-2ba24cac6a06-002,MUN-MOIM-2025-2ba24cac6a06,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_بشتليدا_وفدار,en,false,high,registry
ALIAS-MUN-MOIM-2025-b5b55fdf8448-001,MUN-MOIM-2025-b5b55fdf8448,,moim_2025_election_results_unmatched_to_dglac,primary_ar,جبيل+ علمات الجنوبية+ علمات عين الصوانة,ar,true,high,registry
ALIAS-MUN-MOIM-2025-b5b55fdf8448-002,MUN-MOIM-2025-b5b55fdf8448,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_mount_lebanon_jbeil_جبيل_علمات_الجنوبية_علمات_عين_الصوانة,en,false,high,registry
